service_id,date,exception_type
12345-MFELV29_ST0_29_ET2024,20240814,1
12345-MFELV29_ST0_29_ET2024,20240819,1
12345-MFELV29_ST0_29_ET2024,20240820,1
12345-MFELV29_ST0_29_ET2024,20240821,1
12345-MFELV29_ST0_29_ET2024,20240822,1
12345-MFELV29_ST0_29_ET2024,20240823,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240718,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240719,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240722,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240723,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240724,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240725,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240726,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240729,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240730,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240731,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240801,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240802,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240805,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240806,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240807,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240808,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240809,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240812,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240813,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240814,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240819,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240820,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240821,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240822,1
123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,20240823,1
1234567-MAHS28_ST5_28_ET2024,20240720,1
1234567-MAHS28_ST5_28_ET2024,20240727,1
1234567-MAHS28_ST5_28_ET2024,20240803,1
1234567-MAHS28_ST5_28_ET2024,20240810,1
1234567-MAHS28_ST5_28_ET2024,20240817,1
1234567-MFES28_ST5_28_ET2024,20240720,1
1234567-MFES28_ST5_28_ET2024,20240727,1
1234567-MFES28_ST5_28_ET2024,20240803,1
1234567-MFES28_ST5_28_ET2024,20240810,1
1234567-MFES28_ST5_28_ET2024,20240817,1
1234567-MFED28_ST6_28_ET2024,20240721,1
1234567-MFED28_ST6_28_ET2024,20240728,1
1234567-MFED28_ST6_28_ET2024,20240804,1
1234567-MFED28_ST6_28_ET2024,20240811,1
1234567-MFED28_ST6_28_ET2024,20240815,1
1234567-MFED28_ST6_28_ET2024,20240818,1
1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240720,1
1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240727,1
1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240803,1
1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240810,1
1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240817,1
1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240816,1
123456*-MFELV29_ST0_29_ET2024,20240718,1
123456*-MFELV29_ST0_29_ET2024,20240719,1
123456*-MFELV29_ST0_29_ET2024,20240722,1
123456*-MFELV29_ST0_29_ET2024,20240723,1
123456*-MFELV29_ST0_29_ET2024,20240724,1
123456*-MFELV29_ST0_29_ET2024,20240725,1
123456*-MFELV29_ST0_29_ET2024,20240726,1
123456*-MFELV29_ST0_29_ET2024,20240729,1
123456*-MFELV29_ST0_29_ET2024,20240730,1
123456*-MFELV29_ST0_29_ET2024,20240731,1
123456*-MFELV29_ST0_29_ET2024,20240801,1
123456*-MFELV29_ST0_29_ET2024,20240802,1
123456*-MFELV29_ST0_29_ET2024,20240805,1
123456*-MFELV29_ST0_29_ET2024,20240806,1
123456*-MFELV29_ST0_29_ET2024,20240807,1
123456*-MFELV29_ST0_29_ET2024,20240808,1
123456*-MFELV29_ST0_29_ET2024,20240809,1
123456*-MFELV29_ST0_29_ET2024,20240812,1
123456*-MFELV29_ST0_29_ET2024,20240813,1
123456*-MFELV29_ST0_29_ET2024,20240814,1
123456*-MFELV29_ST0_29_ET2024,20240819,1
123456*-MFELV29_ST0_29_ET2024,20240820,1
123456*-MFELV29_ST0_29_ET2024,20240821,1
123456*-MFELV29_ST0_29_ET2024,20240822,1
123456*-MFELV29_ST0_29_ET2024,20240823,1
*2***-MFELV29_ST0_29_ET2024,20240723,1
*2***-MFELV29_ST0_29_ET2024,20240730,1
*2***-MFELV29_ST0_29_ET2024,20240806,1
*2***-MFELV29_ST0_29_ET2024,20240813,1
*2***-MFELV29_ST0_29_ET2024,20240820,1
****5-MFELV29_ST0_29_ET2024,20240719,1
****5-MFELV29_ST0_29_ET2024,20240726,1
****5-MFELV29_ST0_29_ET2024,20240802,1
****5-MFELV29_ST0_29_ET2024,20240809,1
****5-MFELV29_ST0_29_ET2024,20240823,1
**3**-MFELV29_ST0_29_ET2024,20240724,1
**3**-MFELV29_ST0_29_ET2024,20240731,1
**3**-MFELV29_ST0_29_ET2024,20240807,1
**3**-MFELV29_ST0_29_ET2024,20240814,1
**3**-MFELV29_ST0_29_ET2024,20240821,1
1****-MFELV29_ST0_29_ET2024,20240722,1
1****-MFELV29_ST0_29_ET2024,20240729,1
1****-MFELV29_ST0_29_ET2024,20240805,1
1****-MFELV29_ST0_29_ET2024,20240812,1
1****-MFELV29_ST0_29_ET2024,20240819,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240718,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240719,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240722,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240723,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240724,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240725,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240726,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240729,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240730,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240731,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240801,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240802,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240805,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240806,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240807,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240808,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240809,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240812,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240813,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240814,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240819,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240820,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240821,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240822,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240823,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240720,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240727,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240803,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240810,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240817,1
123456*-MFELV29_ST0_29_ET2024-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,20240816,1
1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,20240816,1
1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,20240720,1
1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,20240727,1
1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,20240803,1
1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,20240810,1
1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,20240817,1
1234567-MGED27_ST6_27_ET2024,20240721,1
1234567-MGED27_ST6_27_ET2024,20240728,1
1234567-MGED27_ST6_27_ET2024,20240804,1
1234567-MGED27_ST6_27_ET2024,20240811,1
1234567-MGED27_ST6_27_ET2024,20240815,1
1234567-MGED27_ST6_27_ET2024,20240818,1
1234567-MAHS31_ST5_33_ET2024,20240816,1
1234567-MFES33_ST5_33_ET2024,20240816,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240718,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240719,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240722,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240723,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240724,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240725,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240726,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240729,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240730,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240731,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240801,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240802,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240805,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240806,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240807,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240808,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240809,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240812,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240813,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240814,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240819,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240820,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240821,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240822,1
12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,20240823,1
